id,Date,Grain,Destination,Port,FGIS_Reg,MT,Pounds
432594,2/13/20,CORN,MEXICO,INTERIOR,INTERIOR,263,580800
432595,2/13/20,SOYBEANS,MEXICO,INTERIOR,INTERIOR,48,105600
432596,2/13/20,SORGHUM,MEXICO,INTERIOR,INTERIOR,96,211200
432597,2/13/20,CORN,MEXICO,INTERIOR,INTERIOR,335,739200
432598,2/13/20,SORGHUM,MEXICO,INTERIOR,INTERIOR,144,316800
432599,2/13/20,CORN,MEXICO,INTERIOR,INTERIOR,311,686400
432600,2/13/20,SORGHUM,MEXICO,INTERIOR,INTERIOR,575,1267200
432601,2/13/20,SORGHUM,MEXICO,INTERIOR,INTERIOR,216,475200
432602,2/13/20,SOYBEANS,MEXICO,INTERIOR,INTERIOR,48,105600
432603,2/13/20,SORGHUM,MEXICO,INTERIOR,INTERIOR,192,422400
432604,2/13/20,CORN,MEXICO,INTERIOR,INTERIOR,287,633600
432605,2/13/20,CORN,JAPAN,COLUMBIA R.,WEST COAST,27500,60626500
432606,2/13/20,SOYBEANS,CUBA,S. ATLANTIC,EAST COAST,4002,8823380
432607,2/13/20,WHEAT,JAPAN,COLUMBIA R.,WEST COAST,26012,57347488
432608,2/13/20,WHEAT,BURMA,PUGET SOUND,WEST COAST,196,432000
432609,2/13/20,WHEAT,NIGERIA,N. TEXAS,WEST GULF,10246,22589355
432610,2/13/20,WHEAT,NIGERIA,N. TEXAS,WEST GULF,12255,27016945
432611,2/13/20,SOYBEANS,MEXICO,INTERIOR,INTERIOR,10877,23980000
432612,2/13/20,CORN,MEXICO,INTERIOR,INTERIOR,11576,25520000
432613,2/13/20,SOYBEANS,BANGLADESH,MISSISSIPPI R.,EAST GULF,55231,121763380
432614,2/13/20,CORN,IRELAND,INTERIOR,INTERIOR,24,54000
432615,2/13/20,SOYBEANS,CHINA T,INTERIOR,INTERIOR,98,216000
432616,2/13/20,SOYBEANS,CHINA T,INTERIOR,INTERIOR,24,54000
432617,2/13/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,245,540000
432618,2/13/20,SOYBEANS,INDONESIA,INTERIOR,INTERIOR,490,1080000
432619,2/13/20,SOYBEANS,PHILIPPINES,N. ATLANTIC,EAST COAST,73,162000
432620,2/13/20,WHEAT,MEXICO,INTERIOR,INTERIOR,599,1320000
432621,2/13/20,WHEAT,MEXICO,INTERIOR,INTERIOR,399,880000
432622,2/13/20,WHEAT,MEXICO,INTERIOR,INTERIOR,299,660000
432623,2/13/20,WHEAT,MEXICO,INTERIOR,INTERIOR,10578,23320000
432624,2/13/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,465,1026000
432625,2/13/20,SOYBEANS,THAILAND,INTERIOR,INTERIOR,465,1026000
432626,2/13/20,SOYBEANS,VIETNAM,INTERIOR,INTERIOR,490,1080000
